filename,target_id,initial_weight,final_weight,action,reason
10035_T1of1_10035.1.json,10035.1,1.0,1.0,skipped,no_change
10038_T1of1_10038.1.json,10038.1,0.4090909090909091,0.17735486309222498,copied,copied
10040_T1of1_10040.1.json,10040.1,0.5,0.9310344827586207,copied,copied
10049_T1of1_10049.1.json,10049.1,0.5921052631578947,0.6136899631368493,copied,copied
10052_T1of1_10052.1.json,10052.1,1.0,1.0,skipped,no_change
10053_T1of1_10053.1.json,10053.1,0.5,0.7118371288496147,copied,copied
10054_T1of1_10054.1.json,10054.1,0.8928571428571429,0.9653809342610896,copied,copied
10057_T1of1_10057.1.json,10057.1,0.9055555555555556,0.9603980331791894,copied,copied
10068_T1of1_10068.1.json,10068.1,0.5,0.12886512088965202,copied,copied
10074_T1of1_10074.1.json,10074.1,0.29545454545454547,0.1949790585775431,copied,copied
10076_T1of4_10076.1.json,10076.1,0.5,0.40144929265779383,copied,copied
10076_T2of4_10076.2.json,10076.2,1.0,0.838724343893384,copied,copied
10076_T3of4_10076.3.json,10076.3,0.5,0.033838091680996274,copied,copied
10076_T4of4_10076.158.json,10076.158,0.5,0.08287580749728896,copied,copied
10082_T10of20_10082.19.json,10082.19,0.0,0.0,skipped,no_change
10082_T11of20_10082.20.json,10082.20,0.0,0.0,skipped,no_change
10082_T12of20_10082.21.json,10082.21,0.0,0.0,skipped,no_change
10082_T13of20_10082.22.json,10082.22,0.0,0.058823529411764705,copied,copied
10082_T14of20_10082.23.json,10082.23,0.0,0.0,skipped,no_change
10082_T15of20_10082.24.json,10082.24,0.0,0.2,copied,copied
10082_T16of20_10082.25.json,10082.25,0.4166666666666667,0.4166666666666667,skipped,no_change
10082_T17of20_10082.31.json,10082.31,1.0,1.0,skipped,no_change
10082_T18of20_10082.54.json,10082.54,0.5,0.6,copied,copied
10082_T19of20_10082.58.json,10082.58,0.5,0.5,skipped,no_change
10082_T1of20_10082.1.json,10082.1,0.5,0.5,skipped,no_change
10082_T20of20_10082.61.json,10082.61,0.5,0.5,skipped,no_change
10082_T2of20_10082.2.json,10082.2,0.65,0.8896581091199971,copied,copied
10082_T3of20_10082.3.json,10082.3,0.5,0.5,skipped,no_change
10082_T4of20_10082.4.json,10082.4,0.3333333333333333,0.6763264734705307,copied,copied
10082_T5of20_10082.5.json,10082.5,0.4166666666666667,0.6777163904235728,copied,copied
10082_T6of20_10082.15.json,10082.15,0.0,0.0,skipped,no_change
10082_T7of20_10082.16.json,10082.16,0.5,0.6,copied,copied
10082_T8of20_10082.17.json,10082.17,0.0,0.0,skipped,no_change
10082_T9of20_10082.18.json,10082.18,0.0,0.0,skipped,no_change
10097_T10of12_10097.22.json,10097.22,0.125,0.125,skipped,no_change
10097_T11of12_10097.40.json,10097.40,0.6666666666666666,0.6862745098039216,copied,copied
10097_T12of12_10097.73.json,10097.73,0.75,0.6,copied,copied
10097_T1of12_10097.1.json,10097.1,0.9,0.98,copied,copied
10097_T2of12_10097.2.json,10097.2,0.3125,0.05776340110905731,copied,copied
10097_T3of12_10097.3.json,10097.3,0.375,0.3712871287128713,copied,copied
10097_T4of12_10097.4.json,10097.4,0.9166666666666666,0.9674796747967479,copied,copied
10097_T5of12_10097.5.json,10097.5,0.625,0.47441736993483447,copied,copied
10097_T6of12_10097.6.json,10097.6,0.9375,0.9724137931034482,copied,copied
10097_T7of12_10097.7.json,10097.7,0.25,0.29411764705882354,copied,copied
10097_T8of12_10097.8.json,10097.8,0.625,0.7822931785195937,copied,copied
10097_T9of12_10097.9.json,10097.9,0.375,0.1875,copied,copied
10098_T1of1_10098.1.json,10098.1,1.0,1.0,skipped,no_change
10104_T1of1_10104.1.json,10104.1,0.696236559139785,0.965963530753277,copied,copied
10112_T1of1_10112.1.json,10112.1,0.5,0.7608654581282857,copied,copied
10120_T1of1_10120.1.json,10120.1,0.16666666666666666,0.027504521651157104,copied,copied
10133_T1of1_10133.1.json,10133.1,0.5,0.7518146692915326,copied,copied
10134_T1of1_10134.1.json,10134.1,0.7140883977900553,0.6986740152685161,copied,copied
10143_T1of1_10143.1.json,10143.1,0.3409090909090909,0.6294927786089203,copied,copied
10145_T1of9_10145.1.json,10145.1,0.75,0.9839500500120206,copied,copied
10145_T2of9_10145.10.json,10145.10,0.9166666666666666,0.9833333333333333,copied,copied
10145_T3of9_10145.14.json,10145.14,0.875,0.9905660377358491,copied,copied
10145_T4of9_10145.26.json,10145.26,0.5,0.6323529411764706,copied,copied
10145_T5of9_10145.38.json,10145.38,0.6666666666666666,0.9711711711711712,copied,copied
10145_T6of9_10145.43.json,10145.43,0.5,0.5,skipped,no_change
10145_T7of9_10145.45.json,10145.45,0.5,0.5,skipped,no_change
10145_T8of9_10145.46.json,10145.46,1.0,1.0,skipped,no_change
10145_T9of9_10145.48.json,10145.48,0.5,0.4,copied,copied
10154_T1of1_10154.1.json,10154.1,0.75,0.12384102798619812,copied,copied
10165_T1of1_10165.1.json,10165.1,1.0,0.04037854889589909,copied,copied
10179_T1of1_10179.1.json,10179.1,1.0,1.0,skipped,no_change
10180_T1of1_10180.1.json,10180.1,0.19444444444444445,0.05644557448766849,copied,copied
10196_T1of1_10196.1.json,10196.1,0.0,0.0,skipped,no_change
10214_T1of1_10214.1.json,10214.1,0.7804878048780488,0.9379908478256864,copied,copied
10220_T1of1_10220.1.json,10220.1,0.4642857142857143,0.4700834658329296,copied,copied
10223_T1of1_10223.1.json,10223.1,0.6594827586206896,0.6399135405299275,copied,copied
10237_T1of1_10237.1.json,10237.1,0.25,0.23659841109110624,copied,copied
10240_T1of1_10240.1.json,10240.1,1.0,1.0,skipped,no_change
10248_T1of1_10248.1.json,10248.1,0.85,0.9249704820264955,copied,copied
10249_T1of1_10249.1.json,10249.1,0.5,0.7151161215143221,copied,copied
10250_T1of1_10250.1.json,10250.1,0.8121951219512196,0.8337071455332372,copied,copied
10252_T1of1_10252.1.json,10252.1,0.75,0.947099508083763,copied,copied
10265_T1of1_10265.1.json,10265.1,0.0,0.0,skipped,no_change
10278_T1of1_10278.1.json,10278.1,0.8552631578947368,0.9952756073816529,copied,copied
1027_T1of1_1027.1.json,1027.1,0.4,0.04005649299735775,copied,copied
10293_T1of1_10293.1.json,10293.1,0.8359375,0.9339817131067887,copied,copied
10294_T1of1_10294.1.json,10294.1,0.8333333333333334,0.8345468516104749,copied,copied
10296_T1of1_10296.1.json,10296.1,0.5,0.8744380374839915,copied,copied
10297_T1of1_10297.1.json,10297.1,0.125,0.052461728883230155,copied,copied
1029_T1of1_1029.1.json,1029.1,0.5909090909090909,0.8878146106576121,copied,copied
10310_T1of1_10310.1.json,10310.1,0.6666666666666666,0.56422367374681,copied,copied
10317_T1of1_10317.1.json,10317.1,0.5,0.4422577727615478,copied,copied
10341_T1of1_10341.1.json,10341.1,1.0,0.8769979221536812,copied,copied
10343_T1of1_10343.1.json,10343.1,1.0,1.0,skipped,no_change
10373_T1of1_10373.1.json,10373.1,1.0,1.0,skipped,no_change
10378_T1of1_10378.1.json,10378.1,0.16279069767441862,0.013783386910761836,copied,copied
10385_T1of1_10385.1.json,10385.1,1.0,1.0,skipped,no_change
10390_T1of1_10390.1.json,10390.1,0.0,0.0,skipped,no_change
10393_T1of1_10393.1.json,10393.1,0.5714285714285714,0.7594516380590399,copied,copied
10402_T1of1_10402.1.json,10402.1,0.25,0.00969621377702487,copied,copied
10408_T1of1_10408.1.json,10408.1,0.75,0.6242812239858191,copied,copied
10436_T1of1_10436.1.json,10436.1,0.5,0.8702650361607551,copied,copied
10451_T1of1_10451.1.json,10451.1,0.5,0.2763189942683808,copied,copied
1048_T1of1_1048.1.json,1048.1,0.6428571428571429,0.7411280637154045,copied,copied
10594_T1of1_10594.1.json,10594.1,0.5,0.5,skipped,no_change
10844_T1of1_10844.1.json,10844.1,0.4375,0.36196897971405373,copied,copied
10908_T1of1_10908.1.json,10908.1,0.5,0.18980463770648254,copied,copied
11037_T1of1_11037.1.json,11037.1,0.4166666666666667,0.17595964651301044,copied,copied
11082_T1of1_11082.1.json,11082.1,1.0,0.9994359870929291,copied,copied
1108_T1of1_1108.1.json,1108.1,0.5,0.5036619189566907,copied,copied
11175_T1of1_11175.1.json,11175.1,0.734375,0.8196940100703328,copied,copied
11186_T1of1_11186.1.json,11186.1,0.875,0.9714839838678639,copied,copied
1122_T1of1_1122.1.json,1122.1,0.5166666666666667,0.21721270402760662,copied,copied
11266_T1of1_11266.1.json,11266.1,0.75,0.8901467950296748,copied,copied
11268_T1of1_11268.1.json,11268.1,0.5833333333333334,0.9380822173209951,copied,copied
11280_T1of1_11280.1.json,11280.1,0.5,0.23747511587878262,copied,copied
11289_T1of1_11289.1.json,11289.1,0.5714285714285714,0.7024026193197752,copied,copied
1128_T1of1_1128.1.json,1128.1,0.17857142857142858,0.012744386161063326,copied,copied
11294_T1of1_11294.1.json,11294.1,0.5,0.09489377995067866,copied,copied
11297_T1of1_11297.1.json,11297.1,0.5,0.4102753387610821,copied,copied
11359_T1of1_11359.1.json,11359.1,0.5,0.4310344827586207,copied,copied
1136_T1of1_1136.1.json,1136.1,0.8125,0.9714972028317916,copied,copied
11371_T1of1_11371.1.json,11371.1,0.46153846153846156,0.029245467327262298,copied,copied
1137_T1of1_1137.1922.json,1137.1922,0.5096153846153846,0.5095749259092611,copied,copied
11406_T1of1_11406.1.json,11406.1,0.5,0.15519713767297028,copied,copied
11504_T1of1_11504.1.json,11504.1,0.875,0.9811904000871503,copied,copied
11518_T1of1_11518.1.json,11518.1,0.0,0.0,skipped,no_change
1154_T1of1_1154.1.json,1154.1,0.7083333333333334,0.17791033114435095,copied,copied
11605_T1of1_11605.1.json,11605.1,0.5,0.7123717993036996,copied,copied
11654_T1of1_11654.1.json,11654.1,0.5,0.5,skipped,no_change
11680_T1of1_11680.1.json,11680.1,0.058823529411764705,0.03256266888536297,copied,copied
11720_T1of1_11720.1.json,11720.1,0.26785714285714285,0.015142290557291938,copied,copied
11767_T1of1_11767.1.json,11767.1,0.9166666666666666,0.9909588274967002,copied,copied
11780_T1of1_11780.1.json,11780.1,0.5,0.6197024317177813,copied,copied
11784_T1of1_11784.1.json,11784.1,0.5,0.9591532489996721,copied,copied
11798_T1of1_11798.1.json,11798.1,1.0,1.0,skipped,no_change
11899_T1of1_11899.1.json,11899.1,0.5192307692307693,0.5137698241189229,copied,copied
12002_T1of1_12002.1.json,12002.1,0.5,0.6184796631538908,copied,copied
1203_T10of12_1203.349.json,1203.349,0.2857142857142857,0.19584329437241937,copied,copied
